,number,value,datetime_start,datetime_complete,duration,params_addNoise,params_decay,params_dropout,params_gainDiv,params_nfft,params_normParam,state
49,49,80.33504486083984,2023-01-06 21:31:19.212367,2023-01-06 21:33:44.708910,0 days 00:02:25.496543,0.1567333257498351,0.0002748446385170809,0.4456661776093616,0.00408157574182835,640,9,PRUNED
50,50,82.01025390625,2023-01-06 21:33:44.724465,2023-01-06 21:37:40.875577,0 days 00:03:56.151112,0.0003983668572790443,0.005212984582996276,0.05934840818324971,0.010508262484899281,128,10,PRUNED
51,51,82.05812072753906,2023-01-06 21:37:40.875577,2023-01-06 21:41:37.574715,0 days 00:03:56.699138,0.003945879136341094,0.001708001338183683,0.021806425786510295,0.007004870792238937,896,7,PRUNED
52,52,84.5128173828125,2023-01-06 21:41:37.574715,2023-01-06 21:48:38.791975,0 days 00:07:01.217260,0.0010614533936671227,0.0009808310556350375,0.02761434596662369,0.0015048928908270825,768,5,PRUNED
53,53,80.74530029296875,2023-01-06 21:48:38.791975,2023-01-06 21:51:06.427154,0 days 00:02:27.635179,0.0017345755253517215,0.0018863823080486645,0.013304456472206206,0.003519154850126282,768,4,PRUNED
54,54,83.008544921875,2023-01-06 21:51:06.427154,2023-01-06 21:55:19.391937,0 days 00:04:12.964783,0.0006244583357054011,0.003029122872402468,0.07933370826273062,0.004851363632439747,896,12,PRUNED
55,55,85.8871841430664,2023-01-06 21:55:19.391937,2023-01-06 22:02:58.109100,0 days 00:07:38.717163,0.005321439859330189,0.00048744190369384764,0.05081467601135477,0.09589103242722986,256,8,PRUNED
56,56,80.0068359375,2023-01-06 22:02:58.109100,2023-01-06 22:05:35.667470,0 days 00:02:37.558370,0.002384645360789947,0.0013121816830428412,0.04217448268227466,0.002726069159002281,640,6,PRUNED
57,57,84.65641021728516,2023-01-06 22:05:35.667470,2023-01-06 22:11:29.745580,0 days 00:05:54.078110,0.017044720689495092,0.0007110594797746548,0.030893291714335382,0.0023663575614139287,768,7,PRUNED
58,58,72.84786224365234,2023-01-06 22:11:29.745580,2023-01-06 22:14:08.102766,0 days 00:02:38.357186,0.0014728773148777294,0.0021303010743512632,0.018631971432731747,0.0008453592237731263,896,3,PRUNED
59,59,75.72649383544922,2023-01-06 22:14:08.102766,2023-01-06 22:16:45.593898,0 days 00:02:37.491132,0.0008927095925989491,0.0038990691015714234,0.023307245769682863,0.01460369822256221,512,4,PRUNED
60,60,79.87008666992188,2023-01-06 22:16:45.593898,2023-01-06 22:22:44.592911,0 days 00:05:58.999013,0.00030639347626786235,0.0003923945034630218,0.06383905299254168,0.02560414127117306,256,9,PRUNED
61,61,80.51966094970703,2023-01-06 22:22:44.592911,2023-01-06 22:25:22.055323,0 days 00:02:37.462412,0.000501946408976642,0.007591655818545013,0.04198298293458629,0.01004602234395957,640,4,PRUNED
62,62,83.02906036376953,2023-01-06 22:25:22.055323,2023-01-06 22:29:36.773894,0 days 00:04:14.718571,0.0027451106409195473,0.009837316420465345,0.03537489642855289,0.0067524374502766354,768,5,PRUNED
63,63,71.44615936279297,2023-01-06 22:29:36.773894,2023-01-06 22:32:14.887210,0 days 00:02:38.113316,0.0013905726523446703,0.005871034123644775,0.02790063215214773,0.005233130691677809,640,3,PRUNED
64,64,80.24615478515625,2023-01-06 22:32:14.887210,2023-01-06 22:34:51.563881,0 days 00:02:36.676671,0.004623468877122915,0.0010745187823797138,0.0484291167392381,0.0015004770429237627,512,5,PRUNED
65,65,77.98291015625,2023-01-06 22:34:51.563881,2023-01-06 22:37:28.579667,0 days 00:02:37.015786,0.007822212134739019,0.038324468262412634,0.07638917123442444,0.017302047136594945,640,6,PRUNED
66,66,82.32478332519531,2023-01-06 22:37:28.579667,2023-01-06 22:41:44.124304,0 days 00:04:15.544637,0.0018187562050300233,0.0008169536908191443,0.09729049662475034,0.00011485546527740601,768,4,PRUNED
